7J3AOZ	2715H
JF2AIJ	2024M
JF2AZM	1911M
JF2BDK	2003H
JF2CRP	2003M
JF2FIU	2002H
JF2FKJ	1803M
JF2HTO/2	1816M
JF2ION	2003H
JF2KRH/7	07015M
JF2KWM	1904M
JF2LNC	1904M
JF2LZT	2034M
JF2NLH/1	110117M
JF2OZH	2003M
JF2RVJ	2108M
JF2SQB	1816M
JF2TGF	2004M
JF2VAX	2101H
JF2XOQ	1911M
JF3BFS	2706M
JF3CGN/1	134401M
JF3DCH	2602M
JF3DRI	24004H
JF3EIG	26001M
JF3ELH	2506H
JF3GFH/1	110109M
JF3IPR	2730M
JF3IYW/4	34001M
JF3KCH	2507H
JF3LCH/3	2401H
JF3LGC	220110M
JF3LYT	2710M
JF3MOK/3	250121M
JF3MTM	250127H
JF3NAO/3	2512M
JF3NDW	2202M
JF3OQA/3	2711M
JF3PLF	22008H
JF3UXC	2509M
JF4CAD/3	2717M
JF4ETK	3509H
JF4OZY/4	3307M
JF4XHR/3	2314M
JF5IHP/5	3909L
JF5SIM/1	1009M
JF6HKQ/6	4308H
JF6IUZ/6	430105M
JF6KKC/1	1712M
JF6LIU/1	1401M
JF6NBB	4201M
JF6TWE	43002M
JF6TWP/6	402104M
JF6YME	43012M
JF7BAO	0501M
JF7FHY	0315M
JF7GDN	06008M
JF7NIO/7	060102L
JF7PHE	060101H
JF7RKV/7	0707H
JF7VVL/7	060104M
JF8KBH	0128M
JF9EDA/9	2907M
JF9IMW	3001M
JF9JTS	2801H
JF9NTF	3001M
JF9NWL	2904M
JF9QMT	2902H
JF9RKE/9	2901M
JF9RSR	2909M
JG0EXP	0802M
JG0GGI	0802H
JG0LGQ	0921H
JG1APX	100116M
JG1AYK	1322M
JG1BBD	1106M
JG1BGT	1204L
JG1CFO	1223M
JG1CRM	12002M
JG1DGD	1008M
JG1EIC	100111M
JG1ERY	1102M
JG1FMA	1108H
JG1GCO	1304M
JG1GFU	1113M
JG1IEB/1	1106M
JG1IUF/1	1222M
JG1KJO	1002M
JG1KOE/1	100120M
JG1KTC	100111M
JG1KZF	1401M
JG1LHB	1204H
JG1LXL	110107L
JG1LZY	120105M
JG1MWW	1228L
JG1NCL/6	4413M
JG1NDM/1	1403M
JG1OQH	1317M
JG1PDC	111001M
JG1PLA/1	1113M
JG1RRH	1010M
JG1RZB	1010L
JG1SRO	13004M
JG1TEV	120103M
JG1THV	1112M
JG1TVK	1024M
JG1UKW	120101M
JG1VBZ/1	1436M
JG1VHA	1010M
JG1WKM	1612L
JG1WNM	120106M
JG1XEV	1102M
JG2AEB	200115L
JG2AIG	1813M
JG2CNS/3	27016M
JG2CNZ	1903H
JG2FGD	1907M
JG2GUE	2004M
JG2IHS	2002M
JG2KGS	2002M
JG2KOO	1823L
JG2MLI/2	200104M
JG2QBC/2	2007M
JG2QPQ	2002M
JG2RDC	1907M
JG2TSL	180102H
JG2VSF/2	200115M
JG2WGK	2036L
JG2YER	180203M
JG3DHN/1	1437M
JG3DOR/9	29012H
JG3HBZ	2702H
JG3HGN	2509M
JG3LDD	2506M
JG3LTE	250126M
JG3OML	2727M
JG4IBI	3513H
JG5CAJ	3801M
JG5DHX/5	3805M
JG5PJJ	3912M
JG5UWK	3901M
JG6AXB	4501M
JG6CRU	4034M
JG6JAV	4201M
JG6MDN	430102M
JG6NHR	4037M
JG6NTY	400101M
JG6OZC	4311M
JG6QFC	4401M
JG6TXW	43010M
JG6VBG	46005M
JG6VMO	430104M
JG7AYM	0717L
JG7CRR	0608M
JG7EXG/7	060101H
JG7IGQ	0402M
JG7IHS	060101L
JG7MER	060103M
JG8GHL	010102M
JG8NKJ	010108M
JG8TDZ	01008M
JH0BHU	0806M
JH0CCK	0802M
JH0DSX	0802M
JH0DUG/1	100117H
JH0EPI	0809H
JH0GWY/0	0826M
JH0HBC	0828L
JH0HZF	0811M
JH0IAM/1	1010M
JH0IEW	0911H
JH0JFI	0811M
JH0JGF/0	0806M
JH0KFI/0	0901L
JH0KSP/0	0905M
JH0MLT	0805M
JH0MUC/0	09001M
JH0NEC	0825H
JH0OZT	09005M
JH0PPU	080102H
JH0RNN	080101M
JH0SPE	0908M
JH1ACA	110117H
JH1AHU	1222M
JH1AKZ	13002M
JH1APQ/1	13004H
JH1AWN	100113M
JH1AWU	1605M
JH1BPR	1307M
JH1BPX	110102M
JH1BSK	1005M
JH1CHU	1516M
JH1CTV	1231H
JH1DHV/1	15008M
JH1DII	1102M
JH1DLJ	1401M
JH1EAF/1	100115L
JH1EDA	1302M
JH1EGJ	1003H
JH1EIT	100112M
JH1EKV/1	110113M
JH1FJW	1025M
JH1FNU	1321M
JH1FOT/2	2111M
JH1GIN	1317M
JH1GOF	1012M
JH1HEC	1422M
JH1HGF/1	100107M
JH1HIC	1602M
JH1HMC	1321M
JH1HUW	110110M
JH1HWJ	15006M
JH1IUP	1323H
JH1JDI/1	1327H
JH1JNJ	1102H
JH1JWU	1701M
JH1KCI	100103M
JH1KET/1	15005H
JH1KPT	13008H
JH1KVQ/1	1025M
JH1KYA	1315M
JH1LEM	1117H
JH1LFP	1002M
JH1LSP	1012H
JH1LTJ	110109M
JH1MTR/4	3202M
JH1MUW	11002M
JH1NLF	110112M
JH1NUJ	1315M
JH1NVA	1709M
JH1NXU	1404M
JH1OHZ	1102M
JH1OJE	1224H
JH1OJV	110111M
JH1OLB	13008H
JH1OTD	110304M
JH1OZV	110113H
JH1PVJ/0	09010M
JH1QPJ	1328M
JH1RAT	1402H
JH1RNI	1014M
JH1SAR	110101M
JH1SCZ	1713H
JH1SUU	1010M
JH1SXX	1212M
JH1SYB/1	100119M
JH1TEB	1003M
JH1TID	1312H
JH1TJH	1336M
JH1TZV	110117M
JH1UBK	1515M
JH1VIX	111002M
JH1VVW	17008H
JH1WHA	1015M
JH1YAK	1605M
JH1YDT	100104M
JH1YMC	110113M
JH2AFP/2	1907M
JH2AXM	2019M
JH2BTM	1903M
JH2CMH	2032H
JH2DFJ	2004H
JH2GMK	180101M
JH2GSW	2011M
JH2HIS	1816M
JH2IHT	2002M
JH2IOD	20010H
JH2JCT/2	1816M
JH2OFJ	1913H
JH2OJS/1	1701M
JH2PAH	2108H
JH2TVB	20005M
JH2UMK	1912H
JH2UVB/2	2012H
JH2VEP	2023M
JH2YDX/2	20005M
JH2YQB	200102M
JH3AGV	2528H
JH3AIV	2506H
JH3BJN/3	220101H
JH3BRU	250101M
JH3BYX	2708M
JH3DMQ	2525M
JH3DYD	2522M
JH3EUJ/3	2711H
JH3FBK/1	1608M
JH3FYC/3	220106M
JH3GBD/1	110118M
JH3GMI	2509M
JH3HGI	27001M
JH3HWH	250202M
JH3JJS/1	1425M
JH3OXM	250121M
JH3PMD	2523M
JH3QFY	250204M
JH3QOH	2512M
JH3RSH	250119M
JH3TXR	220106M
JH3WNZ/3	2507M
JH3WZQ/3	2401M
JH4CES	310101H
JH4EMK/4	3511M
JH4EYD	3401M
JH4FUF	3502H
JH4JUK	3503M
JH4JUW	310103M
JH4LRD	32004M
JH4PUL/3	2209M
JH4QJP	3116M
JH4RAL/3	22006M
JH4RCK/1	1312M
JH4RUM	3115H
JH4SMT/4	3110M
JH4TNX/1	1235M
JH4UCM/4	3301M
JH4UOA	3302M
JH4UTP	310101M
JH4UYB	3508H
JH4XFZ/1	1117M
JH5DAH	3701M
JH5HDA	3801M
JH5JKH/1	1319M
JH5OJH	3607M
JH5PWS	3802L
JH5QJK	3801M
JH5YCW/5	3901M
JH5YVC	3601M
JH6BUK	4007M
JH6CRV	4009M
JH6EYL	4010M
JH6FTJ	4501M
JH6IAG	402105M
JH6JRN/6	4601M
JH6KOQ	4401M
JH6KZP/6	4401M
JH6NSS	4010M
JH6PPV	4401H
JH6QIL	4626M
JH6RTO	4601H
JH6SCA	4211M
JH6TNH	402107M
JH6WDG	40005H
JH6WKF	4306M
JH7DMS/7	0501M
JH7DUM	0711H
JH7IXX	0503H
JH7JHX	05005M
JH7LGJ	060105H
JH7NOT/7	06010M
JH7OUW	0410M
JH7OYV	0201M
JH7UJU	060101L
JH7UKE	060102M
JH7USU	0505M
JH7VTE/7	0401M
JH7XGN	04001H
JH7XNJ	0505M
JH7YAP	060101M
JH7YVU/7	0503M
JH8CLC/7	0414M
JH8EAW/8	010109M
JH8FAJ/1	111002M
JH8FIH	0119M
JH8FIS/1	15005M
JH8IYN	010110M
JH8JLI	010108L
JH8NBJ	010104M
JH8RNY/8	0102M
JH8XTE/8	0118M
JH8ZVQ/8	010108M
JH9ASG	2901M
JH9CEN	3011H
JH9DRL	2801H
JH9ETC/9	3001L
JH9FBU/9	3001M
JH9FCP	30003H
JH9ISB	29012M
JH9SCP/1	1308M
JH9TIW/4	3308M
JH9URT	2809H
JH9VIP	2901M
JI0VWL	09003H
JI0WVQ	0826M
JI1ACI	100115M
JI1AEP	110305L
JI1AKL	1501H
JI1ALP	1207H
JI1AQY/0	0810H
JI1BIF	110117M
JI1BPM	1102M
JI1CAZ	1230H
JI1DFW	134408M
JI1DGW	1007M
JI1EAB	1009M
JI1EDQ	1312M
JI1FCK	110105M
JI1FLB	100122M
JI1FOE	1502M
JI1GQO	1312M
JI1HFJ	1330M
JI1HHB	111001M
JI1HPZ	1219M
JI1ICF	1223M
JI1IIF	1231M
JI1IKC	1013M
JI1IZS/1	1007M
JI1JCI	1303M
JI1JDI	1310M
JI1JPJ	1605H
JI1KIW	1407M
JI1LAI	100121M
JI1LET	1306H
JI1LHT	1333M
JI1LNP	110118M
JI1MDZ	1102M
JI1NIK	110117H
JI1NQG	1002L
JI1NWG	1312M
JI1NZA	1227M
JI1OWT	1012M
JI1PVB	1302H
JI1PZQ	100119M
JI1QEO	11004M
JI1RWC	1511H
JI1RWG	100120M
JI1SNE	100104M
JI1TDA	1322H
JI1TIK	1207M
JI1TIQ/1	100120M
JI1TYY	100112L
JI1UPL	110117M
JI1VJX	1402M
JI1XKH	1005M
JI1XSE	16007M
JI1ZCZ	110108M
JI2EQL	1901M
JI2GCM	2033H
JI2IWB	2003M
JI2IXA	21014M
JI2MWH	2017H
JI2NTJ	2015M
JI2UPG/3	220110M
JI2VLM	1903M
JI2WTE/2	1806L
JI3AES/1	1714M
JI3BSB/3	2509L
JI3CEY/3	250204H
JI3CJP/3	2304H
JI3CSH	2212M
JI3DNN/3	2506M
JI3KHN/2	2038M
JI3LLP	2503M
JI3MCM	2205M
JI3OQO	250205M
JI3VOV/3	2705M
JI3WHR	2526M
JI4DPE	3118M
JI4EAW/3	2522M
JI4JGD	3109M
JI4WHS	3513H
JI5SAO	3601M
JI5USJ/4	35016M
JI5VPL/5	3901M
JI7FBM	0315H
JI7GBI	06008H
JI7OED/7	0401M
JI7RRS	0715M
JI7RVJ/7	0606M
JI7VQP	0715M
JI8EFU	010108M
JI8PNV	010101M
JJ0HPI/0	0906M
JJ0SFV	0822M
JJ0SOX/0	0901M
JJ0TIY	0901M
JJ0TJS/0	08011M
JJ0TOL/0	0822M
JJ0TXI/0	0822M
JJ0URM	0825M
JJ0USR	09006M
JJ0UTR/0	0822M
JJ0VQE	0901M
JJ0VXN	0914M
JJ1ABU	110109M
JJ1AEB	1401M
JJ1BBY/1	100112M
JJ1BCV/1	100109M
JJ1BUZ	1106M
