# Call, Exch1, UserText, 
# JARL contest support
# All Cities All Guns contest
# Last Edit,2024-02-02
7J3AOZ,2708M
7M4HIC,1106L
7M4HOA,1106M
7M4KSC/3,2724M
7M4NHA,1308H
7M4OAQ/1,100112M
7M4PTE,100115H
7M4QOA,1019M
7M4QOC,1208M
7M4RJP,1216M
7M4VFX,100112M
7N1AZY/1,110102M
7N1BHO,1341H
7N1JSE,1107M
7N1MJH,100113M
7N1OCH,1308M
7N1PFW,1432H
7N1SGR,1321M
7N2CQS,1220H
7N2EUT,1424M
7N2GTR,100115M
7N2HJY,100109L
7N2JLJ,1105M
7N2JNN,1112H
7N2NZH,1003M
7N2SPK,1013M
7N2TNI,1011M
7N2UQC,100112M
7N3AKG,1203M
7N3AKY,16003M
7N3FCS/1,120103M
7N3GMT/1,1228M
7N3IJT,1002M
7N3JQZ,1310L
7N3PBT,100114M
7N3RLX,100107M
7N3TCK,100117H
7N3UKH,110305M
7N4AJE/1,110118M
7N4BGU,1329M
7N4EKM,1315M
7N4JXR,1328M
7N4KQM,1212L
7N4SJX,1602H
7N4SWK,110117H
7N4WJL,1016M
7N4XTA,1002H
8J1ECL,1004H
JA0ABK,0809M
JA0AUF,0822H
JA0BFQ/1,1611L
JA0BJY,0806M
JA0BOP,080103M
JA0CCL,0921M
JA0CRK/1,1211M
JA0CTW,09015L
JA0ED,09017M
JA0EVI,0804H
JA0EYF/2,2115M
JA0FCV,080107M
JA0FQZ,0812H
JA0FVU,080102H
JA0GWJ/0,09008M
JA0IBM/6,4502M
JA0IND,0808M
JA0IOF,0901M
JA0JHQ,09011M
JA0NFP,0825H
JA0OWR,0907M
JA0QBY,0802M
JA0RGX/1,134404M
JA0SWT,0805H
JA0VFN,0802M
JA0WDV/0,0901H
JA0XQO,080107M
JA0YEH/0,0826M
JA0YJA/0,0903H
JA0YMA,0822M
JA1ABC/2,2111M
JA1AGH,110303M
JA1APE,111002H
JA1ASD,1701M
JA1ASJ/1,1403M
JA1ATM,11002M
JA1AWU,110106M
JA1BAE,1338M
JA1BAN,1404M
JA1BAU,1030M
JA1BCU,1601H
JA1BEU,1030H
JA1BJI,110118M
JA1BON,100111M
JA1BTS,100116M
JA1BVY,1608H
JA1BYD,1219H
JA1CCJ,110117H
JA1CCX/1,1010M
JA1CFM,1119M
JA1CFW/1,1005M
JA1CIN,1007H
JA1COU,1317H
JA1CP,110113M
JA1CQT,110107H
JA1CRD,110118M
JA1CRJ,134404H
JA1CTX,110118M
JA1CTZ,1317M
JA1CUF,100109H
JA1CXC,1605H
JA1DCK/1,1102H
JA1DFO,1605H
JA1DKU,1025M
JA1DQR,1308M
JA1DSI,100115M
JA1DUZ,1102M
JA1DYB,1224H
JA1ECG,100104M
JA1EQO,1218M
JA1FAT,100118H
JA1FEL,1022M
JA1FGB,1302M
JA1FLS,110117M
JA1FPV,16001H
JA1FVE,110117M
JA1FWS,1212M
JA1FWY,1102H
JA1FXF,1102M
JA1GAC,1231H
JA1GDT,1314H
JA1GDU,110103M
JA1GFD,100119H
JA1GRE/1,1105L
JA1GRT,1019M
JA1GTF,1401M
JA1GZK,1605M
JA1HBS/1,100101M
JA1HBV/1,15008H
JA1HLR,100117M
JA1HNW,1207M
JA1HOI/0,0822M
JA1HSX,100112H
JA1HVT,1605H
JA1IAW,1437H
JA1IAZ,110117M
JA1ICH/1,1508M
JA1IE,100121H
JA1IHD,1310H
JA1ILI,1007H
JA1IOR,100123M
JA1IQV,100115L
JA1IRH,1025M
JA1ISA,1115H
JA1ISN,1012H
JA1IZZ,1304M
JA1JLP,1114H
JA1JNR,110117M
JA1JPB,1333M
JA1JUR,1106M
JA1KDU,1401M
JA1KHV,100112M
JA1KI,1002M
JA1KPF,1420L
JA1LJW,100105M
JA1LKY,1414M
JA1LOG,1317M
JA1LTG,1328L
JA1LZ,110111H
JA1MCD,11004M
JA1MFR,110109M
JA1MJN,1203M
JA1NEJ,100112H
JA1NEZ,13009M
JA1NGB,100120M
JA1NXF,134409M
JA1OBF,1025M
JA1ODM/1,1408M
JA1OGX,100115H
JA1OHP,110102M
JA1OLT,110117H
JA1OTP/1,16001M
JA1OUD,100109M
JA1OYB,1012M
JA1PCM,120103M
JA1PI,1317M
JA1PNA,1602M
JA1PQI,16001L
JA1PSE,1019M
JA1PTK,1302M
JA1PTO,110118H
JA1PYP,134407H
JA1QEU,110118M
JA1QJF,1712M
JA1QQU/2,21016M
JA1RDP,1513H
JA1RDT,100104M
JA1RGQ,100112M
JA1RGU,1112M
JA1RIZ/1,1308M
JA1RRA,1007H
JA1RVO,1014M
JA1RXC,1323H
JA1RYC,1008M
JA1SCE,110101M
JA1SHA,100111H
JA1SIM,100120H
JA1SJR,120102M
JA1SKY,110112M
JA1SVP,1601M
JA1SWL,1225M
JA1SZN,1113M
JA1TAZ/1,1603M
JA1TFJ,1006H
JA1TJV,1610H
JA1TMG,1505H
JA1TQE,1206M
JA1TXQ,100105L
JA1UAV,13003H
JA1UHJ,1010H
JA1UOA,100112H
JA1UVO,1108M
JA1VNV,1105H
JA1VPE,110104H
JA1VQM/1,100117M
JA1VQP,1116M
JA1VUA,1510M
JA1VVH,1318M
JA1WBN/1,1325H
JA1WGD,1012H
JA1WHG,1224M
JA1WNZ,100113M
JA1WOB,1003M
JA1WQX,1005H
JA1WSE,1029M
JA1WUL,1102H
JA1WUT,110107M
JA1WWO,110117M
JA1WYX/3,2206M
JA1WZV,15008H
JA1XCZ/4,31007M
JA1XHC,100119M
JA1XII,1010L
JA1XNT,1007M
JA1XPM,110110H
JA1XQC,1204M
JA1XRQ,100120L
JA1XUY,1309H
JA1XWD/1,1102M
JA1XYQ,100116M
JA1YAD/1,100110M
JA1YAQ/1,100121H
JA1YAX,100119H
JA1YBP,1016M
JA1YCD/1,100112M
JA1YCQ,100105H
JA1YCS/1,110116M
JA1YDU,1216H
JA1YFA,1314H
JA1YFL,1701H
JA1YGC,100118M
JA1YGX,100105H
JA1YHC,100103M
JA1YII,1427M
JA1YJR,100101H
JA1YJY/1,110101M
JA1YKL,100109H
JA1YML,1321H
JA1YNX,100112M
JA1YPZ,1113H
JA1YQH,100113H
JA1YQK,110107M
JA1YSW,1005M
JA1YTI/1,1601M
JA1YTS/1,110302M
JA1YXP,134404H
JA1YYE,13009H
JA1ZBW,1114M
JA1ZGO,1002H
JA1ZGP,1009M
JA1ZI,1008H
JA1ZLO,100110H
JA1ZQA,110103M
JA2AUV,1906M
JA2AXB,180101H
JA2BCQ,2014H
JA2BZA,180206M
JA2DHL,2025H
JA2EBV,200114H
JA2FGW,180101M
JA2FHZ,180101H
JA2FLE,2102H
JA2FXP,180101M
JA2HFB,2030L
JA2HJP/2,1812M
JA2HOL,1813H
JA2HUV,1823M
JA2IJJ,1806M
JA2IXS,180102H
JA2KKA,2102H
JA2KPW,2013M
JA2KQE,200116H
JA2KQY,2006H
JA2KVB,1812M
JA2MOG,2014M
JA2MWV,2102M
JA2MYA,1901M
JA2NGN,1903L
JA2OAW,180102M
JA2ODB,180101H
JA2OZM,2005H
JA2PFO,1803M
JA2QVP,2022H
JA2RBU,2015M
JA2SWH/1,16010M
JA2TFU,2031H
JA2TTH/2,2102M
JA2UDU,2005M
JA2UFH,2007L
JA2ULV,2022L
JA2UNS,20001M
JA2VWG,180202M
JA2WSP,180101M
JA2YAZ,200109M
JA2YDE,2008M
JA2YEF,2007M
JA2YKA,200101M
JA2YKN,180203M
JA2YNI,200107M
JA3AER,2535M
JA3AVO,2708M
JA3BBG,2534M
JA3BVD,250202H
JA3EBT,270109M
JA3EIZ/3,270108H
JA3GJD,2704M
JA3GZE/1,1426M
JA3HBF,22008H
JA3HHN,2513M
JA3HIL,27007M
JA3HPD,2713H
JA3IBU,250102M
JA3IJW,250204H
JA3JM,2529M
JA3JND,2203H
JA3KBF,2704M
JA3KDJ,2703M
JA3KIO,270101M
JA3KYS/3,2705M
JA3KZV,220111H
JA3LEB,2730H
JA3LGF,2509M
JA3LIL,2702H
JA3LKE/1,1104M
JA3LXI/1,100123M
JA3MIB,25007M
JA3MVP,2405H
JA3NHK,2509H
JA3NJY/3,2702M
JA3NSW,2312H
JA3NUT,24005H
JA3OEA,250204H
JA3OLO,22008H
JA3PFY,2515H
JA3PYH/3,270106H
JA3QBY,2509L
JA3QG,2509M
JA3QIH,2704M
JA3QNI,2521M
JA3QOS,2207M
JA3RAZ,2705M
JA3RSJ,24007H
JA3SSB/1,134403M
JA3TSC,2710H
JA3UWB,220103H
JA3VOV,25004H
JA3WDL,2509M
JA3WNJ/1,1029M
JA3XOG,2705H
JA3XQO,2509M
JA3YAA/3,2705M
JA3YAQ/3,220103H
JA3YCC,270101M
JA3YIB,2513M
JA3YPL,2705M
JA3YRA,250125M
JA3YVI,2703M
JA3ZKK/1,1206H
JA4AYB,3511M
JA4BDY,3508H
JA4BEV,3306H
JA4COF,3102M
JA4EVH,3102H
JA4EYC,3302H
JA4FPW,310101H
JA4GBD/8,010103M
JA4GQD,3514L
JA4GTK,3301M
JA4HRR/3,270107M
JA4HXC,3503H
JA4IFS/4,3307M
JA4JCC,3304M
JA4JCY/1,1207M
JA4JSL,3301M
JA4KAP/1,1303M
JA4KCG,3302M
JA4KGH,33006M
JA4LCI,3304M
JA4LZC,350102M
JA4MMO,3316H
JA4MRL,310104M
JA4MSM,3403H
JA4PNF/1,111003M
JA4RQO,3203M
JA4RWN,3401H
JA4TSF/4,3307M
JA4TUJ,3102H
JA4UYM/4,3115M
JA4VNE,3301H
JA4VPS,3514M
JA4WWO/1,1402H
JA4YLJ/4,3302M
JA4YPE,3201M
JA4YTJ,3514M
JA4YWH,3313M
JA4ZCW,3508H
JA5CBU,3607H
JA5CUX,37002H
JA5DVK,3901H
JA5EJC,3705L
JA5EVM,3815H
JA5EXN,3601M
JA5FNX,3804H
JA5GYU,38001H
JA5ICH,3703M
JA5JGV,3608L
JA5JQD,3605M
JA5LEU,3901M
JA5NNF,3702M
JA5NSR,3704H
JA5OXV/5,3813M
JA5QYR,36003H
JA5RB,3803H
JA5RCT/5,3806M
JA5REF,3815M
JA5UIM,3701H
JA5UWH/5,3608M
JA5WPR/5,3704M
JA5YAP,3608M
JA6ACZ,4036M
JA6AVT,40005H
JA6BWH,40005H
JA6CNX,4501L
JA6CYL,4201H
JA6DDW,4607M
JA6DH,40005H
JA6EES,402105M
JA6EFA/4,350106M
JA6EIM,4201H
JA6EOD,4501H
JA6FFK,400104M
JA6FOF/6,4201M
JA6FXL,4201M
JA6GC,402106L
JA6GCE,430101M
JA6GXP,430105H
JA6HXW,4306M
JA6IQG,4027H
JA6JFO/1,110304M
JA6LAD,4502M
JA6PAV,4204M
JA6QDU,4026H
JA6QQL/2,2039M
JA6RMS/6,400106M
JA6RPJ/6,4607M
JA6SEU,4401M
JA6SZV/1,1330M
JA6TFH,4007M
JA6URZ,4501H
JA6USD/6,430101M
JA6UYE,4202M
JA6YAP/6,4316H
JA6YBR,4501H
JA6YLP,402103M
JA7ACV,060101H
JA7ARW,06013H
JA7AXP,0202M
JA7BEW,03009H
JA7BLU,0202H
JA7CQ,0301H
JA7DJO,0504H
JA7DNO,060105M
JA7EFR,0714H
JA7EVH,0304H
JA7FDA,0304M
JA7FLG,0705M
JA7HSX,060104H
JA7KED,0717H
JA7KHQ,02008H
JA7KPI,0402H
JA7LCL,0615H
JA7LLL,06016M
JA7MAD,060104H
JA7MMW,0305H
JA7NBL,0503M
JA7NPV,03008M
JA7ODY,060103H
JA7PGH/1,13008H
JA7QFT,0410M
JA7QLP,0205H
JA7SLK,0504H
JA7SUR/1,1007M
JA7VHJ,060103M
JA7WSC/1,1310H
JA7WXL,0309H
JA7YAA/7,060101M
JA7YAB/7,0502M
JA7YAF,0301M
JA7YBB,0301H
JA7YCQ,060101H
JA7YYM/7,0202M
JA7ZP,0401H
JA8BMD,0106M
JA8BRH,010103M
JA8CXX,010104M
JA8DHV,010104L
JA8EQZ,0117H
JA8FDV,010104H
JA8FET,0126H
JA8IBU,01027M
JA8JWS/7,02008M
JA8KGG/8,010109M
JA8KXA,01073M
JA8NNT/1,1420M
JA8NRS,0107H
JA8NSF/1,1706M
JA8RUA,010105H
JA8RUU,010105H
JA8RUZ,0102M
JA8RWU,010108M
JA8SBJ,0102L
JA8WVQ,01005H
JA9AOC,2809M
JA9BFA/1,1235M
JA9BJS,3001M
JA9CGK,30004M
JA9COB/0,0913M
JA9DOF,2802H
JA9DTV/1,1224M
JA9FHB,2811H
JA9GEW,30007M
JA9IAX/1,12004M
JA9ILH,3001H
JA9LNZ,3010H
JA9MAT,2802M
JA9NOF/9,2802M
JA9OJM,3001M
JA9QWJ,3001M
JA9RPU,2809H
JA9UKK/1,110117M
JA9VGL/3,2304L
JA9WA,3001H
JA9XAT/9,3010H
JA9XCB,2801M
JA9YAA,3012M
JA9YBA,3001M
JD1BIA,10007M
JD1BNN/2,1811M
JE0ANW/0,0912H
JE0CBS/1,1403M
JE0ERZ,0919H
JE0GFH/0,09003M
JE0GIH/1,100118M
JE0HXG/0,0920M
JE0IBO,0901M
JE0KBP,0816H
JE0KLX/0,09011M
JE0SYZ,0915L
JE0WCQ,0901M
JE0WYM,0902M
JE1AKA/1,1228M
JE1ALA,134408H
JE1APY,1012M
JE1BBV,1225M
JE1BJP/1,1030M
JE1BLY,1334L
JE1BPO/1,1116H
JE1BQF/1,134410M
JE1CKA,1309H
JE1CWQ,1501H
JE1DKZ,110107M
JE1DXC,134407M
JE1ECF,100109M
JE1EER,100123M
JE1ENI,110110M
JE1EQS,15007M
JE1GLP,1015M
JE1GMF,111001M
JE1GUU,110117H
JE1GYM,1006M
JE1GZB,1211H
JE1HBQ/1,1601M
JE1HJA/2,21006H
JE1HXZ/6,47003H
JE1IFV,110301H
JE1ILP,100103M
JE1JBG/1,1604H
JE1JNJ,110102M
JE1KDI,110107M
JE1KRS,100122H
JE1LGW,1102M
JE1LGY,1102H
JE1LYS,1346M
JE1MIR,1002M
JE1MUP,1325H
JE1NAL/1,1102M
JE1NGI,100112M
JE1NVD,1317H
JE1OOV,1207H
JE1PHS,100119M
JE1PIK,1304M
JE1PMQ,15007H
JE1QHP,13003H
JE1QJE/1,1302M
JE1RKX/1,1219H
JE1ROZ/1,100111H
JE1RRK,1006M
JE1RZR,1111H
JE1SCJ,100112M
JE1SLP,1317H
JE1SPY,1002M
JE1UIR,1312M
JE1UPB,1513H
JE1VMZ,1115M
JE1WOY,100108M
JE1WYC,1204H
JE1YEM,1113H
JE1YJL/1,1102M
JE1YKR,1012H
JE2BOM,180203M
JE2CHS/2,2101H
JE2DOD,2004H
JE2EVX,200104M
JE2FJI,2015M
JE2HLU,2003L
JE2HOL,20010M
JE2HXL/2,2102H
JE2IWO/2,2003M
JE2KYI,2022M
JE2MDD,2105H
JE2MDZ,2004H
JE2MVP/3,2529M
JE2OTM,180102M
JE2OUK,180101L
JE2PCS/1,1013M
JE2PCY,2038H
JE2PEL,180201H
JE2QBL/2,19008M
JE2QND/2,19012M
JE2SDE/1,1224M
JE2SJH,2110H
JE2SOY/2,1901M
JE2WLD,2031H
JE2WWB,20005H
JE2XBS,2005M
JE3AKU/3,250103M
JE3ARO/3,2301M
JE3EZK,2601H
JE3FOR,270109M
JE3IFZ/3,2703L
JE3LUA,250126M
JE3NVI,2507M
JE3OQG,2512H
JE3OUU,270106M
JE3OZB/1,1225M
JE3PTA,26005M
JE3RMQ,250204H
JE3VRJ,2534M
JE3WQU,22008H
JE3XJS/3,250206M
JE4EYM/4,3508M
JE4EZP/4,3303M
JE4GJV,310103M
JE4HUB/1,16001M
JE4HVU/6,4626M
JE4KLI,350105H
JE4MHL,3513H
JE4RXL/4,3102M
JE4VBW/4,3310M
JE4YKY/1,1433M
JE4YOG,310104M
JE5EUT,39001M
JE5JHZ,38001H
JE5UMJ/3,25003M
JE5URC,3901L
JE5XIC,3602M
JE6CIY/4,3311M
JE6DND,400104H
JE6ETZ,4501M
JE6GIQ/6,4202M
JE6HCL/6,4308M
JE6JZP,4607L
JE6KFN,430101H
JE6KTB,46005H
JE6MYI,4025M
JE6PJP,4202M
JE6QPI,4022M
JE6QQN,4603M
JE6QZU/6,43007L
JE6SDW,402104M
JE6TUP,400105M
JE6XXA,400105M
JE7ARS/7,0410M
JE7BFU/7,07014M
JE7CWH/1,1325M
JE7DMH,0702H
JE7ENK/7,0701M
JE7LYL,0401H
JE7MAY,0404H
JE7MSU,03008H
JE7SRK,0715M
JE7WWR/7,0612M
JE8BIZ,0126M
JE8IAS,010103H
JE8KGH,010110M
JE8KKX,0102H
JE8PHS/8,010102M
JE8ROM,010102M
JE8SMQ/8,01066M
JE8SND,01045M
JE8TRU/2,1802M
JE8UHY,0107M
JE9BGB/1,17004M
JE9HXD,29003M
JE9KZK/9,2909H
JE9VWK/9,2902M
JE9WEO,3001H
JF0IUN,0802M
JF0JZE/1,13008M
JF0OKZ,0816H
JF0RRH,0901M
JF1ABZ,1217M
JF1AJX,134408M
JF1ATC,110118M
JF1ATM,1113H
JF1AWC,1013M
JF1AZQ,1325H
JF1CDX,1016M
JF1CPD,1506H
JF1DFA,120102M
JF1DIJ,1010M
JF1ELR,110117M
JF1EPL,1006H
JF1GZZ,1007M
JF1HAJ,1321M
JF1HNL/1,1318H
JF1IBZ,15007M
JF1IZZ,1204H
JF1JDG,110108H
JF1KGX,1105M
JF1KUR,110112H
JF1LLB,110304H
JF1LVV,110101M
JF1MIA,110101H
JF1MKH,1021M
JF1MLG,110101M
JF1MVF,1433H
JF1NDT/1,110116H
JF1NKQ,1221M
JF1NWF,1601H
JF1OPO,13003H
JF1OQM,110101H
JF1OST,1436M
JF1PBK,12004H
JF1PEQ/1,100112M
JF1PJR,110304M
JF1PTU,1026H
JF1QHQ/1,120101H
JF1RFZ,1338H
JF1RYU,1514H
JF1TFC,120106H
JF1TPR/0,08015M
JF1UBQ,1427M
JF1UBU,1225M
JF1UOX,100112H
JF1UUG,1204M
JF1UYZ/1,1503M
JF1VHO,1315L
JF1VSD/1,100119M
JF1VVR/1,1408H
JF1WAM,110109M
JF1WCK,1343H
JF1WLK,1007H
JF1WNT,110113H
JF1ZZG,1002M
JF2ABZ,19017H
JF2AIJ,2024M
JF2AZM,1911M
JF2BDK,2003M
JF2BNG,2017M
JF2CRP,200113H
JF2CTS,2008H
JF2FIU,2002H
JF2FKJ,1803M
JF2HBI,200114M
JF2HTO/2,1816M
JF2ION,2003H
JF2KRH/4,3102M
JF2KWM,1904M
JF2LNC,1904M
JF2LZT,2034H
JF2NLH,1822H
JF2OZH,2003M
JF2RVJ,2108M
JF2SQB,1816H
JF2TGF,2004M
JF2VAX,2101H
JF2XOQ,1911M
JF3BFS,2706M
JF3CGN/1,1426M
JF3DCH,2602H
JF3DIN,2715M
JF3DRI,24004M
JF3EIG,24004H
JF3ELH,2301M
JF3GFH/1,1605M
JF3IPR,2730M
JF3IYW/2,2017M
JF3KCH,2507M
JF3KQA,220108M
JF3LCH/3,2401M
JF3LEO,2209H
JF3LGC,220110H
JF3LYT,2710M
JF3MOK,250121M
JF3MTM,250127M
JF3NAO,2512M
JF3NDW,2202M
JF3NTU,2702M
JF3OQA/3,2711M
JF3PLF,220111H
JF3TXF/3,2524M
JF3UXC,2509M
JF4CAD/3,22012M
JF4DGI,310101H
JF4ETK,3508H
JF4GWA,310101M
JF4OZY/4,3514M
JF4RKA/4,31006M
JF4XHR/3,22008M
JF5IHP/5,3909L
JF5SIM,36001M
JF6AHC,4022L
JF6CWZ/1,11003L
JF6CYD,4403M
JF6HKQ,4308H
JF6IUZ/6,430105M
JF6KKC/1,1606M
JF6LIU/1,1311M
JF6NBB,4201M
JF6TWE,43002M
JF6TWP/6,402104M
JF6UIG/6,4610M
JF6YME,43012H
JF6ZCV/6,4025M
JF7BAO,0501M
JF7ENT/1,1107M
JF7FHY,0302M
JF7GDN,06008M
JF7NIO/7,060102L
JF7PHE,060101M
JF7RKV/7,0707M
JF7VVL,060104H
JF8DSO,0124H
JF8FSH,0102M
JF8KBH,0128M
JF9EDA/9,2907H
JF9IMW,3001H
JF9JTS,2801H
JF9NTF,3001M
JF9NWL,2904M
JF9PTQ,3010M
JF9QMT,2902H
JF9QYV/9,2908M
JF9RKE/9,2901M
JF9RSR,2909M
JF9SOM/9,29011M
JG0EXP,0802M
JG0GGI,0802M
JG0LGQ,0912M
JG0SYA,0806M
JG1APX,100116M
JG1AYK,1322M
JG1BBD,1106M
JG1BGT,1204L
JG1CFO,1223M
JG1CRM,12002M
JG1DGD,1008M
JG1DLN/1,110307M
JG1DVW,1203H
JG1EIC,100111M
JG1ERY,1102M
JG1FGC,110118M
JG1FMA,1105M
JG1GCO,1304M
JG1GFU,1113M
JG1GOY/9,3006M
JG1IEB/1,1106M
JG1IUF/1,1222M
JG1JIC,1408M
JG1KJO,1002M
JG1KOE/1,100120M
JG1KTC,100111M
JG1KZF,1401M
JG1LHB,1204M
JG1LMT,1107L
JG1LXL,110107H
JG1LZY,120105M
JG1MWW,1228L
JG1NDM/1,1403M
JG1OQH,1317M
JG1PDC,111001M
JG1PLA,1113M
JG1RRH,1010H
JG1RRU/1,100115M
JG1RZB,1010L
JG1SNX/1,1030L
JG1SRO,13004H
JG1TEV,120103M
JG1THV,1112H
JG1TVK,1024M
JG1UKW,120101M
JG1VBZ/1,1436M
JG1VHA,1010M
JG1WKM,1612L
JG1WNM,120106M
JG1XEV,1102M
JG2AEB,200115L
JG2AIG,1813L
JG2BVO/1,1226M
JG2CNS/3,2522M
JG2CNZ,1903H
JG2EJC/2,2025M
JG2FGD,1907H
JG2GUE,2004M
JG2IHS,2002M
JG2KGS,2002M
JG2KOO,1823L
JG2KSI,200114M
JG2MLI/2,200104H
JG2NXV,180203M
JG2QBC/2,2007M
JG2QPQ,2002M
JG2RDC,1907M
JG2TSL,180101H
JG2VSF/2,200115M
JG2WGK,2036L
JG2XWH,1823H
JG2YER,180203M
JG2YIV/2,2040M
JG3DHN/1,1508M
JG3DOR/2,2016M
JG3HBZ,2702M
JG3HGN,2509H
JG3IHE,2301M
JG3LDD,22008H
JG3LTE,250126M
JG3OML,2727M
JG3PCE,270109M
JG3SVP/3,2313M
JG3WDN,2526H
JG4IBI,3513M
JG4IQC/1,100114M
JG4KEZ/1,120101M
JG4STL,3110L
JG5CAJ,3801M
JG5DHX/5,3805M
JG5EQV,3605H
JG5PJJ,3912M
JG5UWK,3901H
JG6AXB,4501M
JG6CRU,4034M
JG6JAV,4201M
JG6JSV,4408M
JG6LYU/1,15004M
JG6MDN,430102M
JG6NHR,4037M
JG6NTY,400101H
JG6OZC,4311M
JG6QFC,4401M
JG6TXW,43010M
JG6VBG,46005H
JG6VMO,430104M
JG7AYM,0717L
JG7CRR,0608H
JG7EHM/0,0806H
JG7EXG/7,060101M
JG7IGQ,0402H
JG7IHS,060101L
JG7MER,060103M
JG7UVO,0715M
JG8GHL,010102M
JG8NKJ,010108H
JG8TDZ,010108M
JH0BHU,0806M
JH0CCK,0802H
JH0CZQ,0920M
JH0DSX,0802H
JH0DUG/1,13006M
JH0EPI,0809H
JH0FJG,0901M
JH0FOG,0802H
JH0GWY/0,0826M
JH0HBC,0828L
JH0HZF,0811H
JH0IAM/1,1117H
JH0IEW,0826H
JH0IGG,0901M
JH0ILL,0919H
JH0JFI,0811H
JH0JGF/0,0806M
JH0KFI/0,0901L
JH0KSP,0905M
JH0MLT,0805M
JH0MUC/0,09001M
JH0NEC,0825H
JH0OZT,09005M
JH0PPU,080102M
JH0QUS/0,0806M
JH0RNN,080101H
JH0SPE,0908M
JH0TUD,080107L
JH0WYT,09001H
JH1ACA,110117M
JH1AHU,1222H
JH1AKZ,13002H
JH1AOY/1,1224H
JH1APQ/1,13004M
JH1ARY/1,100122M
JH1AWN,100113H
JH1AWU,1605M
JH1BPR,1307H
JH1BPX,110102M
JH1BSK,1005M
JH1CEE/1,14008M
JH1CHU,1516H
JH1CTV,1231H
JH1DHV/1,15008M
JH1DII,1102H
JH1DJD,1203H
JH1DLJ,1401H
JH1DUK,1314L
JH1DUL,13008M
JH1DWQ,1601H
JH1EAF/1,100115L
JH1EDA,1302H
JH1EGJ,1002H
JH1EIT,100112M
JH1EKV/1,110113M
JH1EVF,1308M
JH1FJW,1025M
JH1FNU,1321M
JH1FOT/2,1812M
JH1GIN,1317M
JH1GOF,1012M
JH1HEC,1422M
JH1HGF/1,100107M
JH1HIC,1602M
JH1HMC,1321H
JH1HUW,110110H
JH1HWJ,15006M
JH1IUP,1323H
JH1JDI/1,1327M
JH1JJV/7,0707M
JH1JNJ,1102M
JH1JWU,1701M
JH1KCI,100103M
JH1KET/1,15005M
JH1KPT,13008H
JH1KVQ/1,111001M
JH1KYA,1315H
JH1KYI,100115M
JH1LEM,1117M
JH1LFP,1002M
JH1LSP,1012H
JH1LTJ,110109M
JH1LTR/1,100123M
JH1MTR/4,3104H
JH1MUW,11002M
JH1MZG,1330H
JH1NLF,110112H
JH1NUJ,1315M
JH1NVA,1701M
JH1NXU,1404H
JH1OHZ,1102H
JH1OJE,1224H
JH1OJV,110111M
JH1OLB,1319M
JH1OTD,110304M
JH1OZV,110113H
JH1PVJ/0,080103M
JH1QPJ,1328H
JH1RAT,1402H
