# Call, Exch1, UserText, 
# JARL contest support
# ALL JA contest
# Last Edit,2024-02-02
7J3AOZ,27M
JA5YAP,36M
JA6AKW,40M
JA6AVT,40H
JA6BWH,40H
JA6CNX,45L
JA6CVR,41H
JA6CYL,42H
JA6DDW/1,12M
JA6DH,40H
JA6EES,40M
JA6EFA/6,40M
JA6ELV,40M
JA6EOD,45H
JA6FFK,40M
JA6FOF/6,42M
JA6FUV,45M
JA6FXL,42M
JA6GCE,43M
JA6GXP,43H
JA6HMO,46H
JA6HQQ,40H
JA6HXW,43M
JA6IQG,40H
JA6JHH,42M
JA6LAD,45M
JA6LIM,44H
JA6QDU,40H
JA6QQL/2,21M
JA6RMS/6,40M
JA6SEU,44M
JA6URZ,45H
JA6VLW,44H
JA6YAW/6,40M
JA6YBR,45H
JA6YLP,40M
JA6YWY/6,43M
JA6ZPR,44H
JA7AEM,06H
JA7ARW,06H
JA7BEW,03H
JA7CUA,02M
JA7DJO,05H
JA7DNO,06M
JA7EFR,07H
JA7ERJ,03H
JA7EU,03H
JA7EVH,03H
JA7FDA,03M
JA7FYF/1,11M
JA7HSX,06H
JA7IBJ,03H
JA7JQZ,06M
JA7JRC,05H
JA7KED,07H
JA7KHQ,02H
JA7KPI,04H
JA7LCL,06H
JA7LFI/7,03M
JA7LLL,06M
JA7MAD,06H
JA7MCB,06H
JA7MJ,06M
JA7MMW,03H
JA7MSQ,02H
JA7NBL,05M
JA7NPV,03M
JA7ODY,06H
JA7OYM,03H
JA7OZW,02H
JA7QLP,02H
JA7QOU,05M
JA7SLK,05H
JA7SUR/1,13M
JA7UES,03H
JA7UIO/1,13M
JA7VHJ,06M
JA7WSC,02H
JA7WXL,03H
JA7WXM,03H
JA7YAB,05M
JA7YAF,03M
JA7YBA,02M
JA7YBB,03H
JA7YCQ,06H
JA8BMD,10M
JA8CEA,03H
JA8CHP/0,08M
JA8CMC,06M
JA8CXX,06M
JA8CXY,06H
JA8DHV,06L
JA8DIQ,06H
JA8DJY,06M
JA8DYM,08M
JA8EQZ,06H
JA8FDV,06H
JA8FET,05H
JA8IBU,10M
JA8IJI,12L
JA8KGG,06M
JA8KSW/1,10M
JA8KXA,12M
JA8LFI,06M
JA8NSF/1,13M
JA8RUA,06H
JA8RUU,06H
JA8RUZ,03M
JA8RWU,06M
JA8XYB,08L
JA9APM,28H
JA9BFA/1,11M
JA9BRE/1,17M
JA9CEI,28H
JA9CGK,30M
JA9DOF,28H
JA9DTV/1,17M
JA9EJG,30M
JA9FHB,28H
JA9GEW,30M
JA9IAX/1,16M
JA9LNZ,30H
JA9MAT,28M
JA9MJR,29H
JA9NFO,28M
JA9OJM,30M
JA9OJU,30H
JA9PPC,28H
JA9QWJ,30M
JA9RPU,28H
JA9RRH,30H
JA9TQY/9,28M
JA9VEQ/9,28M
JA9VGL/3,27L
JA9WA,30H
JA9XAO,30M
JA9XAT/9,29H
JA9YAA,30M
JA9YBA,30M
JA9YDZ/9,29M
JD1BIA,48M
JD1BNN/3,23M
JD1BQP,48H
JE0ARV,09H
JE0CBS/1,13M
JE0DKR/1,11M
JE0GIH/1,16M
JE0HXG/0,09M
JE0KBP,08H
JE0KLX,09M
JE0SYZ,09L
JE0WCQ,09M
JE0WYM,09M
JE1AKA/1,12M
JE1ALA,13H
JE1APY,10M
JE1BBV,12M
JE1BJP/1,10M
JE1BMJ,12H
JE1BPO/1,11H
JE1CAC,14H
JE1CAS,16M
JE1CKA,13H
JE1CTL,14M
JE1CTM,11H
JE1DKZ,11M
JE1DXC,13M
JE1ENI,11M
JE1EQS,15M
JE1GLP,10M
JE1GQM,10M
JE1GUU,11H
JE1GYM,10M
JE1HXZ/2,21H
JE1IFV,11H
JE1ILP,10M
JE1JAC,10M
JE1JBG/1,16H
JE1JNJ,11M
JE1KDI,11M
JE1KRS,10H
JE1LFX,11H
JE1LGW,11M
JE1LGY,11H
JE1LHN,11M
JE1LHW,11M
JE1LIB,11H
JE1MBG,12H
JE1MLM,16M
JE1MSB,10M
JE1MUP,13H
JE1NAL/1,11M
JE1NVD,13H
JE1PHS,10M
JE1PMQ,15H
JE1QCL,10M
JE1QHP,13H
JE1QJE/1,13M
JE1ROZ/1,10H
JE1RRK,10M
JE1RTQ,10M
JE1RXJ,11H
JE1SGH,14H
JE1SLP,13H
JE1SPY,10M
JE1UIR,13M
JE1UPB,15H
JE1WBA,12H
JE1WOY,10M
JE1YKR,10H
JE2AZP,20M
JE2BOM,18M
JE2CHS,21H
JE2CPI,18H
JE2DYA,20M
JE2FJI,20M
JE2HOL,20M
JE2KYI,20M
JE2LUN,21M
JE2MDZ,20H
JE2MVP,20M
JE2OTM,18M
JE2OUK,18L
JE2PCY,20H
JE2QBL/2,19M
JE2QND/2,19M
JE2SDE,21M
JE2SJH,21H
JE2WLD,20H
JE2WNL,18M
JE2WWB,20H
JE2XBS,20M
JE2YRB,18M
JE3AKU/3,25M
JE3CDW,25H
JE3EZK,26H
JE3FKS/3,25H
JE3FOR,27M
JE3HAO,26M
JE3KXB,24M
JE3LUA,25M
JE3NVI,25M
JE3OQG,25H
JE3OZB/1,14M
JE3VRJ,25M
JE3WQU,22H
JE3XJS/3,25M
JE4AHM/6,42M
JE4CMJ,31H
JE4EYM,35M
JE4EZP/4,33M
JE4GJV,31M
JE4HUB/6,47M
JE4HVU/6,42M
JE4IVN,31H
JE4KLI,35H
JE4MHL,35H
JE4MZT,31H
JE4RXL,31M
JE4USZ,33M
JE5BNF/5,37M
JE5EUT,39M
JE5HTN,36H
JE5UMJ/3,25M
JE5URC,39L
JE6CIY/4,35M
JE6DND,40H
JE6DNN,40M
JE6EBT,43M
JE6GIQ/6,42M
JE6HCL/6,43M
JE6JZN,43H
JE6JZP,46L
JE6KFN,43H
JE6KTB,46H
JE6MCA,40H
JE6MOT,44H
JE6MYI/6,40M
JE6OXU,44M
JE6PJP,42M
JE6QPI,40M
JE6QQN,46M
JE6SDW/6,40M
JE6TUP,40M
JE6UNL,45H
JE6VKB,43H
JE6VTF,45M
JE6WOQ,40H
JE6XRO,40M
JE7CWH/7,06M
JE7DMH,07H
JE7IZM/1,16M
JE7KHL/7,05M
JE7LYL,04H
JE7MAY,04H
JE7MSU,03H
JE7PNN/1,11M
JE7SRK,07M
JE7WBI,05H
JE7WWR/7,06M
JE7WWU,06M
JE7XXE,05H
JE7ZDX/7,05M
JE8ATX,12H
JE8BIZ/1,16M
JE8CLT,06M
JE8CXM,09M
JE8IAS,06H
JE8KGH,06M
JE8KKX,03H
JE8PHS,06M
JE8ROM,06M
JE8SMQ/8,113M
JE8TRU/2,21M
JE8UHY,09M
JE9BGB/1,15M
JE9HXD,29M
JE9KZK/9,29H
JE9VWK/9,29M
JE9WEO,30H
JF0GDS/1,13M
JF0IUN,08M
JF0OKZ,08H
JF0RRH,09M
JF1ABZ,12M
JF1AJX,13M
JF1AZQ,13H
JF1CPD,15H
JF1DFA,12M
JF1DIJ,10M
JF1DMY,12M
JF1DWJ,11H
JF1ELR,11M
JF1EPL,10H
JF1GZZ,10M
JF1HAJ,13M
JF1IZZ,12H
JF1JDG,11H
JF1JDQ,15M
JF1KGX,11M
JF1KQI,11M
JF1KUR,11H
JF1KVT,10H
JF1KWI/7,03M
JF1LLB,11H
JF1LVV,11M
JF1LWO,13M
JF1MIA,11H
JF1MLG,11M
JF1MVF,14H
JF1NKQ,12M
JF1OPO,13H
JF1OQM,11H
JF1OST,14M
JF1OVA,10H
JF1PBK,12H
JF1PJR,11M
JF1PTU,10H
JF1RFZ,13H
JF1RPZ,10H
JF1RQD,11M
JF1RYU,15H
JF1SQC,11H
JF1TFC,12H
JF1UBQ,14M
JF1UJV,10M
JF1UOX,10H
JF1UYZ/1,15M
JF1VHO,13L
JF1VRR,16M
JF1VSD/1,10M
JF1WAM,11M
JF1WCK,13H
JF1WLK,10H
JF1WNT,11H
JF1WQN,14M
JF1YYZ/1,12M
JF2ABZ,19H
JF2AIA/4,35M
JF2AIJ,20M
JF2AZM,19M
JF2CRP,20H
JF2CTS,20H
JF2CXS,20M
JF2ERH,21M
JF2FIU,20H
JF2FKJ,18M
JF2HBI,20M
JF2ION,20H
JF2KRH/2,18M
JF2KWM,19M
JF2LNC,19M
JF2MBF,20H
JF2MKO,21H
JF2NLH/1,13H
JF2OZH,20M
JF2PEO,20M
JF2PIY,21M
JF2QNM,20H
JF2RVJ,21M
JF2SQB,18H
JF2TGF,20M
JF2VAX,21H
JF2VFN,20H
JF2YXT,20L
JF3AUB,27M
JF3BFS,27M
JF3CGN/1,14M
JF3DCH,26H
JF3DIN,27M
JF3DRI,24M
JF3EIG,24H
JF3ELH,23M
JF3GFH/1,11M
JF3IPR,27M
JF3IYW/2,20M
JF3KCH,25M
JF3LCH/2,21M
JF3LGC,22H
JF3LPM,27M
JF3MOK,25M
JF3NAO/3,25M
JF3NDW,22M
JF3NGM,24H
JF3NTU,27M
JF3OUQ,27M
JF3PLF,22H
JF3QJR,26H
JF3WWS,25L
JF4AXU,32M
JF4CAD/5,37M
JF4ETK,35H
JF4GWA,31M
JF4OZY/4,31M
JF4RKA/4,31M
JF4VCF/3,24M
JF5SIM,36M
JF6AAG/6,44M
JF6AFY,44M
JF6AHC,40L
JF6BCC,40M
JF6CBO,40M
JF6CWW,40M
JF6CWX,40M
JF6CYD,44M
JF6HKQ/6,43H
JF6IUZ/6,43M
JF6KKC/1,14M
JF6LIU/1,12M
JF6NBB,42M
JF6RIM,40H
JF6TWE,43M
JF6TWP/6,40M
JF6YME,43H
JF7BAO,05M
JF7GDN/7,06M
JF7NIO,06L
JF7PHE,06M
JF7RKV/7,06M
JF7VVL,06H
JF8DSN,06H
JF8DSO,06H
JF8KBH,05M
JF9JTS,28H
JF9NTF,30M
JF9NWL,29M
JF9QCK,30H
JF9QMT,29H
JF9SLR,28L
JG0EXP,08M
JG0GGI,08M
JG0HRA,09M
JG0LGQ,09M
JG0SXC,09M
JG1APX,10M
JG1BBD,11M
JG1BGT,12L
JG1CFO,12M
JG1CMT/1,11M
JG1CRM,12M
JG1DLN/1,11M
JG1DVW,12H
JG1EIC,10M
JG1FMA,11M
JG1FYA,16H
JG1GCO,13M
JG1GOY/9,29M
JG1GPY,10L
JG1IEB/1,11M
JG1IUF/1,12M
JG1JEO,14M
JG1KGL,14H
JG1KZF,14M
JG1LHB,12M
JG1LMT,11L
JG1LXL,11H
JG1LZY,12M
JG1MWW,12L
JG1NDM,14M
JG1NMD,10M
JG1PLA,11M
JG1RRH,10H
JG1RRU/1,10M
JG1SPS,13M
JG1SRO,13H
JG1TCG,10M
JG1TGQ,14H
JG1THV,11H
JG1TUC,13H
JG1TVK,10M
JG1UKW,12M
JG1UQD,12M
JG1VBZ,14M
JG1VHA,10M
JG1VPT,10M
JG1VSW,10M
JG1WNM,12M
JG1XEV,11M
JG1XIO,10H
JG2ADX,20H
JG2AIG,18L
JG2CNS/3,26M
JG2CNZ,19H
JG2EJC/2,20M
JG2FGD,19H
JG2GSY,20H
JG2IHS,20M
JG2JWA,20M
JG2KGS,20M
JG2KSI,20M
JG2MLI/2,20H
JG2QPQ,20M
JG2REJ,18H
JG2TSL,18H
JG2VSF/2,20M
JG2XWH,18H
JG2YER,18M
JG2YIV/2,20M
JG3DHN/1,14M
JG3DJX,26M
JG3DOR/9,29M
JG3HBZ,27M
JG3HGN,25H
JG3IHE,23M
JG3LDD,22H
JG3LTE,25M
JG3LWP,25H
JG3OML,27M
JG3PCE,27M
JG3PQZ,26M
JG3SUQ,26M
JG3TWK/3,25H
JG3WDN,25H
JG4IBI,35M
JG4KEZ/1,13M
JG4OCY/4,31M
JG4OHX,33H
JG5CAJ,38M
JG5DHX/5,38M
JG5JXW,36H
JG6AXB,45M
JG6BKB,46M
JG6CRU,40M
JG6JAV,42M
JG6JSV,44M
JG6MDN,43M
JG6NHR,40M
JG6OZC,43M
JG6SRL,43H
JG6TXW,43M
JG6UHE/3,27M
JG6VBG,46H
JG6VMO,43M
JG6YLY,43H
JG6YNJ,44M
JG7AYM,07L
JG7CRR,06H
JG7EDQ,05M
JG7EHM,06H
JG7EXG,06M
JG7IHS,06L
JG7IJM,05M
JG7IOV,03M
JG7MER,06M
JG7UBP/7,06M
JG7UVO,07M
JG8GHL,06M
JG8GZJ/1,13M
JG8LOL,03M
JG8NKJ,06H
JH0ALH,09M
JH0CCK,08H
JH0CZQ,09M
JH0DAY,09H
JH0DSX,08H
JH0DZR,08M
JH0EPI,08H
JH0EYA,08H
JH0FOG,08H
JH0HBC,08L
JH0IAM/1,14H
JH0IEW,08H
JH0IGG,09M
JH0ILL,09H
JH0JGF/0,08M
JH0KSP/0,09M
JH0MLT,08M
JH0MUC,09M
JH0NEC,08H
JH0OXS,09H
JH0OZT,09M
JH0PZV/0,09M
JH0RNN,08H
JH0SDA/1,14M
JH0SGE,09M
JH0SPE,09M
JH0WJE,09M
JH0WJF,09H
JH0WMN/1,17M
JH0WYT,09H
JH1ACA,11M
JH1AHU,12H
JH1AKZ,13H
JH1APQ,13M
JH1ASG,13H
JH1AWN,10H
JH1AWU,16M
JH1BBC,11H
JH1BHW,11M
JH1BPX,11M
JH1BSJ,11H
JH1BSK,10M
JH1CAO,12L
JH1CHU,15H
JH1CML,12H
JH1CTV,12H
JH1DGB,15M
JH1DGJ,14M
JH1DGY,10M
JH1DHV/1,15M
JH1DII,11H
JH1DJD,12H
JH1DLJ,14H
JH1DOM,10M
JH1DUK,13L
JH1DUL,13M
JH1DWQ,16H
JH1EAQ,13H
JH1EDA,13H
JH1EGJ,10H
JH1EGT,11H
JH1EKV,11M
JH1EYM,12H
JH1FNU,13M
JH1FOT/2,19M
JH1GOF,10M
JH1GTU,11L
JH1HEC,14M
JH1HGF,10M
JH1HIC,16M
JH1HMC,13H
JH1HST,13M
JH1HUW,11H
JH1HWJ,15M
JH1IDM,11H
JH1IUP,13H
JH1JJV,11M
JH1JNJ,11M
JH1KCI,10M
JH1KJD,10M
JH1KPT,13H
JH1KYA,13H
JH1LEM,11M
JH1LMF,10M
JH1LNL,13M
JH1LSP,10H
JH1MTR/4,33H
JH1MUW,11M
JH1MZE,10H
JH1MZG,13H
JH1NHK,11M
JH1NLF,11H
JH1NXU,14H
JH1OGC,11M
JH1OHZ,11H
JH1OJE,12H
JH1OJV,11M
JH1OLB,13M
JH1ORA,13H
JH1OTD,11M
JH1OZV,11H
JH1PGF,10M
JH1PVJ/0,09M
JH1QPJ,13H
JH1QQN,11M
JH1RAT,14H
JH1RDI,10M
JH1RNI,10M
JH1SAR,11H
JH1SBE,10M
JH1SCZ,17M
JH1SLC,12M
JH1SQU,14H
JH1SUU,10M
JH1SYB,10M
JH1SZL,11H
JH1TEB,10H
JH1TID,13H
JH1TJH,13H
JH1TUJ,14M
JH1TZV,11M
JH1UBK,15H
JH1UES,11H
JH1VDM,16M
JH1VIX,11M
JH1VMM,10M
JH1VVW,10M
JH1WFS,14M
JH1WGP,14M
JH1WGW,10M
JH1WHA,10H
JH1XDW,14H
JH1XJQ,13H
JH1XUM,15H
JH1XUP,10M
JH1XUZ,12M
JH1XXB,15H
JH1XXM,13L
JH1YAK,16M
JH1YIE,10M
JH1YMC,11H
JH1YNY/1,11M
JH2AFP/2,19M
JH2BLF,18L
JH2BTM,19H
JH2CMH,20H
JH2FOR,20H
JH2FXK,20H
JH2GMK,18M
JH2GSW,20M
JH2HIS,18H
JH2HZC,21M
JH2IRH/1,11M
JH2KKW,18H
JH2OFJ,19H
JH2OJS/2,20M
JH2RIH,20H
JH2UMK,19M
JH2UVB/2,20H
JH2VEP,20M
JH2XQY,20H
JH3AGV,25H
JH3BRU,25H
JH3BYX,27M
JH3CCT,25H
JH3DMQ,25M
JH3DYD,25M
JH3EUJ/3,23H
JH3FTZ,27H
JH3GCN,22M
JH3GMI,25M
JH3HGI,27H
JH3HWH,25M
JH3JJS/1,15M
JH3LCX,27M
JH3LUN,23M
JH3OXM,25M
JH3PTC,27H
JH3QED,26H
JH3QFY,25M
JH3QVA,25M
JH3RGD,25H
JH3RSH,25M
JH3TXR,22H
JH3WNZ,25M
JH3WZQ,24M
JH4CZY,31M
JH4DAY,34M
JH4DOV/1,12H
JH4EYD,34M
JH4FUF,35M
JH4GXE,31M
JH4IGT,31M
JH4ILF,32M
JH4JUK,35M
JH4LRD,32M
JH4NDG,35H
JH4NHF,33M
JH4NIA/4,31M
JH4OUH,33H
JH4OWG,31M
JH4OYD,33M
